title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,producers,rating,runtime_mins,theaters,season,theater_run,Year,summer,fall,winter,spring,holiday,,PG-13,R,PG,G,GP,M/PG
Bloodline,5/9/2008,,,Cinema Libre Studio,64698,80500,Documentary,0,,,113,5,summer,111,2008,1,0,0,0,0,1,0,0,0,0,0,0
BloodRayne,1/6/2006,25000000,Uwe Boll,Romar Entertainment,2405420,3279500,Act_Adven,0,,R,94,985,winter,16,2014,0,0,1,0,0,0,0,1,0,0,0,0
Bloodsport,2/26/1988,,,Cannon Films,11806119,25651700,Sports,0,,R,92,124,winter,0,1985,0,0,1,0,0,0,0,1,0,0,0,0
Bloodsport 2,3/1/1996,,,FM Ent. Intl.,684351,1382600,Sports,0,,R,87,,spring,104,2009,0,0,0,1,0,0,0,1,0,0,0,0
Bloodsucking Bastards,9/4/2015,,Brian James OConnell,Shout! Factory,,,Horror,0,,,84,,fall,0,2005,0,1,0,0,0,1,0,0,0,0,0,0
Bloodworth,5/20/2011,,,Samuel Goldwyn,12971,14400,Drama,0,,R,105,10,summer,6,1941,1,0,0,0,0,0,0,1,0,0,0,0
Bloody Angels,5/25/2001,,,USA Films,6509,10300,None,0,,R,,,summer,0,1998,1,0,0,0,0,0,0,1,0,0,0,0
A Bloody Aria,1/4/2008,,,ImaginAsian Pictures,518,600,Foreign,0,,,115,1,winter,17,1935,0,0,1,0,0,1,0,0,0,0,0,0
Bloody Sunday,10/4/2002,,Paul Greengrass,Paramount Classics,773228,1187400,Historical,0,,R,107,54,fall,114,0,0,1,0,0,0,0,0,1,0,0,0,0
Blossoms of Fire,2/3/2006,,,New Yorker,3365,4600,Documentary,0,,,75,1,winter,6,2001,0,0,1,0,0,1,0,0,0,0,0,0
Blow,4/6/2001,53000000,,New Line,52990775,83605600,Crime_Thriller,0,Michael De Luca,R,124,2249,spring,0,2009,0,0,0,1,0,0,0,1,0,0,0,0
Blow Dry,3/9/2001,,,Miramax,637769,1006200,None,0,Sydney Pollack,R,91,157,spring,0,2008,0,0,0,1,0,0,0,1,0,0,0,0
Blown Away,7/1/1994,,Stephen Hopkins,MGM,30156002,64424200,Act_Adven,0,,R,121,1862,summer,0,2006,1,0,0,0,0,0,0,1,0,0,0,0
The Blue Bird,1/19/1940,,Walter Lang,Fox,,,Family,0,Darryl F. Zanuck,,88,,winter,0,2015,0,0,1,0,0,1,0,0,0,0,0,0
The Blue Butterfly,2/20/2004,,,Alliance,1755355,2524200,Act_Adven,0,,PG,97,73,winter,0,1957,0,0,1,0,0,0,0,0,1,0,0,0
Blue Caprice,9/13/2013,,,IFC,93995,103100,Drama,0,,R,93,36,fall,41,2007,0,1,0,0,0,0,0,1,0,0,0,0
Blue Car,5/2/2003,,,Miramax,465310,689100,Drama,0,,R,88,28,summer,83,1995,1,0,0,0,0,0,0,1,0,0,0,0
Blue Chips,2/18/1994,,William Friedkin,Paramount,23070663,49287300,Sports,0,,PG-13,107,1980,winter,0,2016,0,0,1,0,0,0,1,0,0,0,0,0
Blue City,5/2/1986,,,Paramount,6947787,16723400,None,0,Walter Hill,R,83,1050,summer,0,2001,1,0,0,0,0,0,0,1,0,0,0,0
Blue Collar,2/10/1978,,Paul Schrader,Universal,6521083,24886000,None,0,,R,114,,winter,0,2004,0,0,1,0,0,0,0,1,0,0,0,0
Blue Collar Comedy Tour,1/10/2003,,,Warner Bros.,604856,895800,Other,0,"Casey La Scalla, Hunt Lowry",PG-13,,,winter,0,1992,0,0,1,0,0,0,1,0,0,0,0,0
Blue Crush,8/16/2002,25000000,John Stockwell,Universal,40390647,62080600,Sports,0,Brian Grazer,PG-13,104,3015,summer,48,2009,1,0,0,0,0,0,1,0,0,0,0,0
Blue Exorcist The Movie,8/17/2013,,,Eleven Arts,21796,24800,Animation,0,,,88,7,summer,40,2013,1,0,0,0,0,1,0,0,0,0,0,0
